chromosome start end start_coord end_coord change
1 784 993 31050872 40333557 0.188796760307711
1 2143 2352 116909149 150964744 -0.117019924431153
1 2352 2674 150926263 158031166 0.105456135206645
1 3898 4181 233836080 248937043 -0.0984243721748434
10 143 229 11611305 18543557 0.121993769177561
10 545 631 45073146 50266815 -0.163965789439724
10 1314 1400 100486646 103517393 0.100699698166132
10 1549 1644 119140767 126009592 0.102610085272876
11 258 393 5449323 9314636 -0.107323605136296
11 393 528 9280654 18248668 0.102918392873121
11 1259 1454 61362344 65413525 0.15765602217294
11 1454 1589 65386621 67805336 0.285696117638537
11 2261 2396 111864254 118342705 -0.0815212351725168
12 219 376 8232512 12685075 -0.180909754154027
12 1117 1231 55716037 57797554 0.168861541974495
12 1532 1694 81257975 97185609 -0.113280550331655
12 1817 1946 106977277 113789807 0.183377444789432
12 2067 2181 121019111 126865422 0.178846777089378
13 114 161 23765934 26405238 -0.114276571906989
13 255 318 33180401 40224862 -0.149789581735514
13 817 866 100756551 109401641 -0.126987667154875
14 738 859 54474484 61570653 0.109265230836023
14 1505 1620 103120847 105884888 0.126467377936311
15 162 271 29264989 34795549 -0.224228124822244
15 392 523 41163162 45441808 0.160109538132711
15 938 1014 72134641 74873365 -0.111563369227714
16 185 290 2513952 4495763 -0.121817883126924
16 795 892 30107675 31477960 0.118365204387317
16 1643 1739 75321890 83800640 -0.0592933080047898
17 1 114 142789 3619913 0.107073028947613
17 917 1032 30834325 35344564 -0.0961351717072156
17 1212 1369 41801947 45170040 0.0799439843631664
17 1369 1483 45160700 48634932 -0.124412455651046
17 1788 1902 63471604 68601367 0.11250435249572
17 2016 2176 75318076 80971213 0.110215229630629
17 2176 2290 80966239 83240804 0.161975407384202
18 558 637 49477243 57146998 0.106193399197072
19 1 144 99175 2918473 0.137535668792747
19 415 538 9291515 11979290 0.103183175723444
19 538 661 11925075 14408723 -0.0162067319780127
19 940 1096 20340269 27984743 -0.100453472102159
19 1242 1434 35154730 39204263 -0.14109489782112
2 457 617 34067226 47663146 0.106197405275742
2 1812 2005 130280299 148516971 -0.113704441165064
20 96 166 3783851 9577689 0.196573917242476
20 237 290 17599255 21106514 0.11391444593776
20 528 617 35523186 41138003 0.201284319498909
20 669 721 44714844 45879122 0.132116284896442
20 773 825 48624252 51802521 0.140975171831366
21 190 220 29351634 30510497 -0.156029553751074
21 344 378 36130489 37526358 -0.106150717705451
21 497 540 43865223 44682163 0.144037179860395
22 386 492 23786931 27801756 -0.136084295302937
22 666 770 35703803 38749041 0.191705208266468
22 935 993 45133020 49817712 -0.118228378836734
3 346 485 32752910 42908105 0.109650499739307
3 607 729 48465811 51974031 0.218115983325386
3 729 852 51961212 60730644 0.159947700029264
3 1380 1530 122564338 130094304 0.120540207909263
3 2297 2455 190166764 198228376 -0.107265388717916
4 819 923 70196496 76898144 -0.104507393178409
5 237 352 17614781 32523865 -0.10888411990307
5 1073 1188 93360779 103120138 -0.108751160006091
5 1628 1743 139684645 142154440 -0.137239167417895
5 1743 1916 142108779 155398353 0.0972252482456776
5 2105 2318 173463484 181472430 0.114443716847615
6 346 524 27083280 30626395 -0.143009565070331
6 729 854 33410399 39934551 0.115021392816406
7 1 162 70972 8262687 0.114089168609746
7 1436 1646 101195007 118951259 0.103291444125975
8 397 510 23270120 30180888 0.14082648589896
8 1064 1158 74052340 82961926 -0.15276669550792
8 1805 1899 143290399 145066685 0.0772883538241325
9 86 173 5629025 15588615 -0.103441346482279
9 515 601 39072767 62845184 -0.110195942681808
9 601 687 62844818 70217668 -0.248181990005695
9 1296 1411 120902393 127503501 0.116621635437091
9 1411 1497 127451486 129636135 0.293961531556492
9 1497 1610 129608884 135450154 0.203370801687171
9 1610 1733 135447446 138286430 0.0820045350055328
X 701 791 57984686 70673515 -0.112195274328512
X 1114 1204 102785667 108383993 -0.266569616226686
X 1204 1312 108383398 119565409 -0.101830334413186
X 1714 1804 153479266 156027877 0.199720738153484
