chromosome start end start_coord end_coord change
1 763 972 29192657 39691485 0.161855622704404
1 1924 2133 108199926 116433368 0.0449138961553296
1 2133 2342 116429049 150629612 -0.0722420831146936
1 2342 2647 150600851 156881850 0.117486681151526
1 3937 4181 235538052 248937043 -0.0923653729100213
10 335 421 28433008 35230598 0.107579276126343
10 545 631 45073146 50266815 -0.265300258753753
10 820 941 70597348 76438775 0.151582324208243
10 1266 1416 97640686 104353575 0.142143492288155
10 1555 1730 119562101 133778699 0.131441195001248
11 246 385 5301014 8965011 -0.2095888927937
11 548 703 18704312 33775670 -0.111270552126713
11 703 931 33774699 49101168 0.114829421314616
11 1097 1272 57325603 61747001 0.00544164486170446
11 1272 1407 61680391 64602353 0.227788115731025
11 1407 1650 64590641 70279297 0.153917406651419
12 114 228 5583797 8428610 0.0839711384494562
12 228 376 8427640 12685075 -0.18271434025438
12 376 492 12668982 21766705 -0.134124391891829
12 1146 1260 56104614 61232937 0.169530272373836
12 1796 1953 105235290 114241770 0.278071650227275
12 1953 2067 114238970 121039242 0.102071753431515
12 2067 2181 121019111 126865422 0.193578944755111
13 49 171 19823482 27182998 -0.113987816753664
13 265 312 34574204 39603528 -0.134738157036961
13 871 944 110305812 114333948 0.103793480648651
14 302 419 22829879 28265974 0.158219121398517
14 546 654 37556158 49708792 -0.15623332848838
14 744 859 55004813 61570653 0.123123644732459
14 1082 1169 74482985 77761207 0.157304472319472
15 174 265 30052942 34495900 -0.221611700838006
15 429 510 42348103 45167526 0.165349476547234
15 782 879 63125872 68198603 0.137134716794357
16 290 386 4461680 10943021 0.108884128583962
16 490 665 16094192 25149032 0.137537271785148
16 665 779 25140577 29919864 -0.105991236921281
16 981 1078 33140850 46569097 -0.116976041616589
16 1217 1355 54245544 63181071 0.050498404008583
17 1 114 142789 3619913 0.106084410292355
17 358 477 9547298 16353656 -0.132377860323283
17 597 711 19020656 21458989 -0.131829966483897
17 1235 1349 42270517 44720597 0.129283097344128
17 1793 1957 63550477 73663848 0.10331006312182
17 2128 2290 78605233 83240804 0.169323218263667
18 150 205 9475009 11994938 0.12457899488876
18 759 825 67516546 75065671 -0.120700972097285
19 1 241 99175 5456856 0.130643145011042
19 415 538 9291515 11979290 0.120670916465888
19 538 693 11925075 15114985 -0.0735899563825057
19 927 1124 20122569 29675477 -0.115980854024353
19 1427 1550 38941401 41532174 0.122505464431324
19 1550 1673 41531206 44448452 -0.14246562861457
19 1984 2107 50776141 52564464 -0.151748919932704
2 468 634 36513255 48776517 0.131697111185436
2 2086 2249 157876702 173268015 -0.149220003239661
2 2432 2597 189311263 202231849 0.1025101470879
20 97 171 3786772 10186740 0.1942121497066
20 509 561 34872146 36746090 0.187701306092403
20 561 635 36651766 42971492 0.148296793987507
20 762 830 47501887 52455619 0.136728897954503
20 897 965 58228940 62635504 0.106563587858771
21 160 195 27143344 29940033 -0.103306835571842
21 195 238 29536933 30755428 -0.154061127274091
21 267 304 32402511 33931607 -0.139715056909541
21 408 437 39235386 41562958 -0.159605661830859
21 437 468 41559125 42836477 -0.102843529095121
22 99 151 18081466 19969975 -0.123103974770969
22 266 318 22293733 22721145 -0.103067863699509
22 372 424 23573125 24599398 -0.112002183863808
22 494 547 27919376 30378658 0.100362314721237
22 667 719 35717872 37569405 0.200431878740894
22 719 873 37560480 42139927 0.155421787778606
3 122 244 10992186 20390562 0.122798231155374
3 611 806 48564073 57075432 0.21229802660453
3 1377 1499 122416882 129161063 0.0861586536010551
4 516 621 42561457 54087783 -0.110121430105147
4 1889 2058 174636920 190082386 -0.124657895429346
5 235 350 17601882 32312987 -0.115687551894934
5 704 819 65926475 73338533 0.113788973681403
5 1729 1923 141618414 156924710 0.122297285962342
6 717 862 33277123 40502393 0.141559958106313
6 862 1022 40501631 49078051 0.0600899824791582
6 1172 1286 63797189 79068138 -0.124504815738686
7 1 154 70972 7968020 0.122267452919951
7 154 269 7640711 20777038 -0.104631993069208
7 1172 1310 83424880 97870289 0.124136431004122
8 177 279 10723768 15689562 -0.115362685252685
8 396 504 23243637 30083467 0.101263292655732
8 611 760 38163335 48518157 0.0969584871482535
8 1028 1122 72196334 80539135 -0.150103275342453
8 1122 1238 80535006 90606065 -0.109458597003391
8 1805 1899 143290399 145066685 0.223466102455663
9 86 172 5629025 16061663 -0.142203838759635
9 428 514 35642514 39039594 0.0990736248224709
9 514 601 39016969 62845184 -0.162930623013873
9 601 694 62844818 71589933 -0.22417518644619
9 1222 1314 113161006 122200088 0.165961310401185
9 1314 1400 122159908 126838210 0.105540930827617
9 1400 1592 126805006 134159968 0.262527565005678
X 324 442 37541077 47145038 -0.0992210402684037
X 974 1064 86798598 101096367 -0.128848772148547
X 1154 1245 103845151 112690520 -0.128449939100267
X 1714 1804 153479266 156027877 0.118839001820119
