chromosome start end start_coord end_coord change
1 490 956 19591802 38881587 0.112689205684242
1 2341 2675 150574551 158149810 0.114066148654355
10 426 545 35638249 45073541 -0.126326068800028
10 545 631 45073146 50266815 -0.184343173362147
10 803 889 69778962 73737311 0.119751043966348
10 975 1074 79544087 87094843 -0.134207623724789
10 1333 1419 101176306 104624795 0.141138857494719
11 391 526 9138825 18236802 0.123517669451417
11 1255 1456 61258286 65466720 0.205865768566985
11 1456 1592 65455258 67926431 0.285501912660401
12 210 388 8076939 12963539 -0.249708096237109
12 821 946 48727435 52258867 0.102448008577591
12 1147 1261 56116590 61600843 0.151589136153795
12 1875 2043 110387463 120450803 0.167944801795412
12 2043 2168 120450437 125983665 0.2080677393341
13 114 170 23765934 27169135 -0.129301227535845
13 475 529 51452364 59263391 -0.126138978372918
13 811 869 100530164 110054952 -0.10593322456823
14 269 356 22520416 24078100 0.125489529212466
14 633 795 48045481 58141660 0.113953915541104
14 1508 1618 103148597 105881556 0.105963063875334
15 175 251 30083053 34086314 -0.312993702381172
15 251 347 34085911 40307935 -0.111675770907182
15 423 499 42139034 44930622 0.118790955910591
15 1012 1088 74826627 77668074 0.109901102737397
15 1275 1406 86938797 93301647 0.104344293280918
16 113 209 1528688 2839585 0.136839257474797
16 1269 1365 56708450 64600247 0.164115358910293
16 1748 1932 83899115 90222851 0.103914454510468
17 1 115 142789 3663103 0.111934281413283
17 586 700 18744026 21000323 -0.136405662023812
17 1368 1482 45150400 48626358 -0.149871633117382
17 2015 2129 75272981 78782297 0.0980208807017598
17 2129 2290 78674048 83240804 0.168761688525361
18 128 175 8360820 10637399 -0.119161110393241
18 548 610 48673575 54599493 0.125244159764098
19 1 218 99175 4518465 0.124302352233541
19 404 534 9178979 11842439 0.133200187571938
19 534 657 11841241 14269377 -0.00686295604727417
19 928 1128 20125044 29921653 -0.123598807940253
19 1291 1414 35785697 38840178 -0.21470389544612
19 1577 1713 42132555 45351520 -0.180806702009949
19 2344 2472 56538948 58599355 -0.199479254936894
2 1840 2000 130830978 146898218 -0.125265581353584
20 90 146 3659248 6528459 0.245422023610718
20 513 597 35115364 38588463 0.211849595388266
20 980 1041 62872250 64313132 0.115431145586806
21 192 222 29370019 30526701 -0.17365372753087
21 222 259 30526546 32197813 -0.110858097136073
21 259 301 32080316 33519108 -0.192442082018511
22 665 773 35685940 38794198 0.218598681394559
22 833 887 41189727 42640601 0.126665137325999
22 941 993 45275599 49817712 -0.133732926623164
3 186 308 14799331 29290726 0.110015510189598
3 607 805 48465811 56960854 0.204961037888077
3 1379 1508 122527924 129335074 0.12748761171856
5 1473 1661 132481609 140699305 0.104445444083836
5 1661 1776 140691430 146120412 -0.197823152689903
5 1776 1920 146099406 156739812 0.0746666134295967
5 2158 2318 176388751 181472430 0.146239861526726
6 376 518 28080568 30494194 -0.155284045818054
6 719 852 33289302 39904877 0.159822142075834
6 1146 1260 57967687 74850484 -0.193206848871218
6 2175 2289 160926269 170745977 -0.0674564878219129
7 895 1022 64024409 72723089 -0.125291245056609
7 1203 1472 87934143 102671641 0.0985418742288778
7 1706 1821 125159974 131662624 -0.114766200595885
8 396 507 23243637 30144665 0.138873075927295
8 1099 1231 78605952 89823802 -0.130518960955087
8 1325 1419 96126967 102238961 0.101319593516095
8 1805 1899 143290399 145066685 0.120940400357411
9 525 611 39631046 63385117 -0.20442197558945
9 611 697 63299453 71911193 -0.144289768053018
9 1416 1502 127716079 129718635 0.243833788823567
9 1502 1610 129712896 135450154 0.157218567306407
X 336 447 38269163 47229997 -0.116012014974247
X 694 908 57286706 77457278 -0.120242382488634
X 998 1114 91414878 102786604 -0.114740320801319
X 1114 1217 102785667 109853919 -0.153929823684644
X 1714 1804 153479266 156027877 0.19065541917955
