chromosome start end start_coord end_coord change
1 490 800 19591802 31649371 0.100132302021606
1 800 1009 31644694 40771603 0.170133928656547
1 2035 2333 111414319 150353233 -0.10709741751739
1 2333 2652 150321479 157060762 0.126379573028122
10 543 629 45002222 50152287 -0.155800188397742
10 1259 1409 97458324 104126385 0.153376629016521
10 1501 1644 114994657 126009592 0.127998377110314
11 241 394 5248269 9311689 -0.177719879421143
11 394 541 9311284 18511475 0.0979062563807974
11 541 679 18511043 32143723 -0.11725012610099
11 679 938 32132657 49406714 0.101229671543848
11 1277 1519 61792980 66390168 0.223945547105296
11 1519 1684 66389609 71804640 0.107326630828248
11 2079 2262 94638045 111881243 0.0541272477465952
12 221 377 8254527 12722369 -0.138674164353192
12 494 608 21797401 31015806 0.11157050524524
12 1123 1237 55752463 57842745 0.180993604688912
12 1806 1954 106301929 114408442 0.255410089226972
12 1954 2181 114353911 126865422 0.154002951277104
13 48 95 19818121 22803648 -0.100718559781708
13 269 316 35251070 40535807 -0.136212357519207
13 605 675 74377163 81691072 0.102739573920943
14 302 417 22829879 27845286 0.122975334605699
14 547 634 37564047 48319394 -0.143883325813091
14 735 835 54396849 60515543 0.168218610367291
14 1098 1218 75013769 84951373 0.130928872490602
14 1452 1582 100538939 105450106 0.11058980371504
15 177 253 30103720 34210096 -0.273424350689817
15 394 509 41230839 45165576 0.132070855101709
15 771 847 62390526 66386746 0.155960224535107
15 1182 1303 82372196 89221614 -0.150105776594519
16 176 272 2429394 3880713 -0.168464861972147
16 272 400 3725054 11349321 0.100007525565136
16 526 659 18788063 25088618 0.10028656790487
16 1504 1600 69131291 72822781 0.115700655358333
16 1740 1836 82773319 87698156 0.0959122452427932
17 1224 1369 42038232 45170040 0.153271674417552
17 1369 1498 45160700 48899748 -0.123779177355877
17 2025 2290 75588058 83240804 0.112874177988494
18 49 93 2593674 5238598 -0.101771777936392
18 417 468 31622247 35842617 -0.116528478678308
19 420 543 9412461 12052967 0.131570086341966
19 543 666 12017888 14496149 -0.00763142099017374
19 927 1128 20122569 29921653 -0.132986197890821
19 1251 1436 35319261 39245129 -0.0907288127784465
2 353 521 27199587 39098445 0.102866668064084
2 2432 2592 189311263 202205188 0.119722214369682
20 104 167 4059633 10007116 0.136002232378736
20 528 595 35523186 38578859 0.292708413821436
20 595 647 38472816 43716495 0.163451148205811
20 647 713 43667019 45746287 0.107769749634523
20 773 826 48624252 51862912 0.123694849473286
21 298 344 33482499 36131376 0.107550897645085
21 398 467 38974429 42782229 -0.107247505343014
21 496 525 43855890 44525952 0.1081507373965
22 376 492 23638487 27801756 -0.100062857369174
22 661 713 35540831 37355002 0.131948567572524
22 822 874 40788777 42149455 0.158290177152366
22 874 926 42140203 44572453 -0.128095641241255
3 1 122 11745 11039247 0.0248374124784536
3 122 244 10992186 20390562 0.146922230751608
3 606 728 48446710 51974016 0.255373806603218
3 728 865 51957454 63203448 0.118437000846511
4 719 833 65034634 70808619 -0.104762204631451
5 292 413 24881943 37085852 -0.132379202167636
5 1045 1195 90353037 103562790 -0.091505367746216
5 1425 1628 127651693 139745010 0.0994563173326258
5 1628 1743 139684645 142154440 -0.196779759429581
5 1743 1940 142108779 157605637 0.115639829581251
6 717 908 33277123 42500022 0.102229876213584
6 908 1022 42499710 49078051 0.171201148468889
6 1148 1262 58119741 75250323 -0.1549865767393
6 1916 2061 139976352 152637801 -0.137503486581979
7 1 164 70972 8262821 0.100229787597594
7 1255 1387 92560758 100221490 0.163843733614751
7 2034 2149 142797239 149624752 -0.116702327782102
8 1079 1173 75026428 84864907 -0.173755957211713
8 1805 1899 143290399 145066685 0.0934254591946613
9 86 173 5629025 15588615 -0.112099819842932
9 259 345 22203990 33473930 -0.114406491456996
9 491 577 37800554 61866965 -0.104296969474846
9 577 697 61865755 71911193 -0.197645702944836
9 981 1067 95442980 99929896 -0.103954437951654
9 1158 1410 107963703 127451406 0.121357283740827
9 1410 1561 127447674 133149334 0.201853654403582
9 1561 1647 133097720 136672678 0.123429970844141
X 1122 1212 102806164 109544690 -0.188044918306268
X 1583 1678 141261119 151913968 -0.130846301170551
X 1678 1804 151904431 156027877 0.100767911326404
